"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAYMOND","EQ","26-Mar-2020","        229.80","        231.25","        241.25","        224.00","        225.00","        224.80","        233.41","     558883","           130446600.55","      13565","     248897","         44.53"
"RAYMOND","EQ","27-Mar-2020","        224.80","        229.90","        235.00","        218.00","        220.90","        219.95","        226.09","     331648","            74982250.60","      10635","     175349","         52.87"
"RAYMOND","EQ","30-Mar-2020","        219.95","        220.00","        230.90","        210.00","        214.50","        214.95","        223.96","     652986","           146241726.15","      12601","     341196","         52.25"
"RAYMOND","EQ","31-Mar-2020","        214.95","        223.85","        225.65","        216.85","        225.00","        222.80","        222.48","     404575","            90008807.55","       9739","     208835","         51.62"
"RAYMOND","EQ","01-Apr-2020","        222.80","        222.55","        231.80","        220.80","        223.95","        223.90","        225.01","     244921","            55109656.55","       5892","     123898","         50.59"
"RAYMOND","EQ","03-Apr-2020","        223.90","        227.00","        227.10","        218.00","        218.95","        219.40","        220.00","     164781","            36251265.35","       5237","      91849","         55.74"
"RAYMOND","EQ","07-Apr-2020","        219.40","        229.80","        230.35","        224.00","        230.35","        230.35","        228.46","     296913","            67831861.90","       8326","     201684","         67.93"
"RAYMOND","EQ","08-Apr-2020","        230.35","        241.85","        241.85","        241.85","        241.85","        241.85","        241.85","      64606","            15624961.10","        827","      64405","         99.69"
"RAYMOND","EQ","09-Apr-2020","        241.85","        253.90","        253.90","        253.90","        253.90","        253.90","        253.90","      17461","             4433347.90","        425","      17461","        100.00"
"RAYMOND","EQ","13-Apr-2020","        253.90","        266.55","        266.55","        245.00","        266.55","        266.55","        262.21","    1337698","           350755248.30","      14626","     485046","         36.26"
"RAYMOND","EQ","15-Apr-2020","        266.55","        277.80","        279.85","        270.00","        273.45","        273.90","        276.81","     679251","           188025622.65","      10523","     337193","         49.64"
"RAYMOND","EQ","16-Apr-2020","        273.90","        274.50","        278.80","        263.50","        273.95","        271.25","        271.99","     356464","            96953692.80","       9617","     217722","         61.08"
"RAYMOND","EQ","17-Apr-2020","        271.25","        279.00","        281.90","        271.30","        273.50","        273.75","        275.12","     293821","            80835675.05","       7288","     190517","         64.84"
"RAYMOND","EQ","20-Apr-2020","        273.75","        282.00","        282.00","        260.10","        260.10","        260.10","        265.96","     420205","           111756272.65","      12384","     323738","         77.04"
"RAYMOND","EQ","21-Apr-2020","        260.10","        252.25","        254.95","        247.10","        247.10","        247.35","        248.79","     263750","            65618782.05","       6851","     168657","         63.95"
"RAYMOND","EQ","22-Apr-2020","        247.35","        245.00","        259.70","        244.00","        251.50","        248.85","        254.41","     670361","           170547743.65","      11622","     251241","         37.48"
"RAYMOND","EQ","23-Apr-2020","        248.85","        250.00","        256.95","        249.50","        250.50","        251.10","        252.44","     184432","            46557098.50","       5083","      94176","         51.06"
"RAYMOND","EQ","24-Apr-2020","        251.10","        249.50","        250.50","        240.00","        243.60","        242.55","        245.04","     172988","            42389826.45","       6807","     125422","         72.50"
"RAYMOND","EQ","27-Apr-2020","        242.55","        245.00","        251.30","        241.00","        245.00","        244.80","        245.71","     128939","            31681650.40","       3901","      54528","         42.29"
"RAYMOND","EQ","28-Apr-2020","        244.80","        246.00","        249.75","        234.50","        239.60","        238.95","        240.35","     259404","            62347194.85","       6373","     162469","         62.63"
"RAYMOND","EQ","29-Apr-2020","        238.95","        243.50","        243.60","        238.90","        239.50","        239.80","        240.48","     282859","            68020925.85","       6642","     183139","         64.75"
"RAYMOND","EQ","30-Apr-2020","        239.80","        243.15","        248.50","        240.35","        240.90","        241.25","        244.24","     385838","            94238844.10","       8243","     240035","         62.21"
"RAYMOND","EQ","04-May-2020","        241.25","        240.00","        241.00","        229.20","        229.20","        229.20","        230.63","     354607","            81783056.75","       8754","     269579","         76.02"
"RAYMOND","EQ","05-May-2020","        229.20","        231.00","        234.30","        217.75","        220.00","        220.55","        224.78","     268220","            60291005.05","       7278","     169963","         63.37"
